"Journals","N_responses","Data_timing","Data_timing_agree","Data_strict","Data_strict_agree","Data_clar_mean","Data_clar_mode","Data_clar_agree","Data_clar_NAs","Code_timing","Code_timing_agree","Code_strict","Code_strict_agree","Code_clar_mean","Code_clar_mode","Code_clar_agree","Code_clar_NAs"
"limnology and oceanography",3,"Unclear",2,"Encouraged",2,3.33333333333333,NA,NA,0,"Unclear",2,"Encouraged",2,3,"2",2,0
"mammal review",3,"Unclear",2,"Encouraged",2,2.66666666666667,"2",2,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"marine biology",3,"Unclear",2,"Encouraged",3,3.33333333333333,"4",2,0,"Not Expected At All",3,"Not Mentioned",2,2,"No_Rating",2,2
"marine biology research",3,"During Peer Review",3,"Encouraged",3,3.66666666666667,"4",2,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"marine ecology progress series",3,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"methods in ecology and evolution",3,"During Peer Review",3,"Mandated",3,4.33333333333333,"4",2,0,"During Peer Review",3,"Mandated",3,4.33333333333333,"4",2,0
"microbial ecology",3,"Unclear",3,"Encouraged",3,3.66666666666667,NA,NA,0,"Unclear",2,"Encouraged",2,4,NA,NA,1
"molecular biology and evolution",3,"After Acceptance (Post-Publication)",2,"Mandated",3,3.66666666666667,NA,NA,0,NA,NA,"Mandated",2,3.5,NA,NA,1
"molecular ecology",3,"Unclear",2,"Mandated",3,3.66666666666667,"4",2,0,"Unclear",2,"Encouraged",2,4,NA,NA,0
"molecular ecology resources",3,"During Peer Review",2,"Mandated",3,4,NA,NA,0,"Unclear",2,"Encouraged",2,3.66666666666667,"4",2,0
"molecular phylogenetics and evolution",3,"During Peer Review",2,"Encouraged",3,3.33333333333333,NA,NA,0,"During Peer Review",2,"Encouraged",3,2.66666666666667,"2",2,0
"movement ecology",3,"Unclear",2,"Encouraged",3,3.66666666666667,"4",2,0,"Unclear",2,NA,NA,3,NA,NA,1
"natural areas journal",3,"Not Expected At All",2,"Not Mentioned",3,1,"1",2,1,"Not Expected At All",2,"Not Mentioned",3,1,"1",2,1
"nature",3,"During Peer Review",2,"Mandated",3,4.66666666666667,"5",2,0,"During Peer Review",2,"Mandated",3,4.66666666666667,"5",2,0
"nature climate change",3,"During Peer Review",2,"Mandated",2,4,"4",2,1,"During Peer Review",2,"Mandated",2,4.33333333333333,"4",2,0
"nature communications",3,"During Peer Review",2,"Mandated",2,4.66666666666667,"5",2,0,"During Peer Review",2,"Mandated",2,4.33333333333333,"4",2,0
"nature ecology & evolution",3,"During Peer Review",2,"Mandated",2,4.66666666666667,"5",2,0,"During Peer Review",2,"Mandated",2,4.66666666666667,"5",2,0
"neobiota",3,"Unclear",3,"Encouraged",3,4.33333333333333,"4",2,0,"Unclear",2,"Not Mentioned",3,2,NA,NA,1
"new phytologist",3,"After Acceptance (Post-Publication)",2,"Mandated",3,3.33333333333333,"4",2,0,"Unclear",2,"Encouraged",2,2.66666666666667,NA,NA,0
"new zealand journal of ecology",3,"Not Expected At All",3,"Optional for Authors",2,3,NA,NA,0,"Not Expected At All",3,"Optional for Authors",2,3,NA,NA,0
"northeastern naturalist",3,"Not Expected At All",3,"Not Mentioned",2,1.5,NA,NA,1,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"northwest science",3,NA,NA,"Not Mentioned",2,1.5,NA,NA,1,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"oecologia",3,NA,NA,"Encouraged",2,3.66666666666667,"4",2,0,NA,NA,"On Reviewer Request",2,2.66666666666667,NA,NA,0
"oikos",3,"After Acceptance (Post-Publication)",3,"Mandated",3,4.66666666666667,"5",2,0,"Not Expected At All",2,"Not Mentioned",2,2,NA,NA,1
"organisms diversity & evolution",3,"During Peer Review",2,"On Reviewer Request",2,3.66666666666667,"4",2,0,"During Peer Review",3,"On Reviewer Request",3,3.33333333333333,"3",2,0
"oryx",3,NA,NA,"Encouraged",2,3,"4",2,0,NA,NA,"Encouraged",2,3,"4",2,0
"paleobiology",3,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2
"pedobiologia",3,"Unclear",3,"Mandated",2,2.33333333333333,"2",2,0,"Unclear",3,"Optional for Authors",2,2,NA,NA,0
"people and nature",3,"After Acceptance (Post-Publication)",2,"Mandated",3,4.33333333333333,"4",2,0,NA,NA,"Mandated",2,4,NA,NA,0
"perspectives in plant ecology evolution and systematics",3,"Unclear",3,"Mandated",2,2.33333333333333,"3",2,0,"Unclear",2,NA,NA,2,NA,NA,0
"philosophical transactions of the royal society b: biological sciences",3,"During Peer Review",3,"Mandated",3,4.33333333333333,"4",2,0,"During Peer Review",3,"Mandated",3,4.33333333333333,"4",2,0
"phytocoenologia",3,NA,NA,"Encouraged",2,3.66666666666667,"4",2,0,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2
"plankton and benthos research",3,"Not Expected At All",2,"Not Mentioned",2,3,"3",2,1,"Not Expected At All",2,"Not Mentioned",2,3,"No_Rating",2,2
"plant biology",3,"After Acceptance (Post-Publication)",2,"Encouraged",3,3.33333333333333,"4",2,0,NA,NA,"Encouraged",2,3,NA,NA,1
"plant ecology",3,NA,NA,"Encouraged",2,3.66666666666667,NA,NA,0,NA,NA,NA,NA,3.5,NA,NA,1
"plant ecology and diversity",3,"During Peer Review",3,NA,NA,4,NA,NA,0,"Not Expected At All",2,"Not Mentioned",2,5,"No_Rating",2,2
"plant physiology",3,NA,NA,"Mandated",2,5,"5",2,1,"Not Expected At All",2,"Not Mentioned",2,5,"No_Rating",2,2
"plant species biology",3,"Unclear",2,"Encouraged",2,4.33333333333333,"4",2,0,"Unclear",2,"Encouraged",2,4.33333333333333,"4",2,0
"plant systematics and evolution",3,NA,NA,"Encouraged",3,4.33333333333333,"4",2,0,NA,NA,"On Reviewer Request",2,4.33333333333333,"4",2,0
"plants people planet",3,"After Acceptance (Post-Publication)",2,NA,NA,2.66666666666667,NA,NA,0,NA,NA,NA,NA,4,NA,NA,1
"plos biology",3,"After Acceptance (Post-Publication)",2,"Mandated",3,4.33333333333333,"5",2,0,"After Acceptance (Post-Publication)",2,"Encouraged",2,3.66666666666667,NA,NA,0
"polar biology",3,"Unclear",2,"Encouraged",3,4,"4",3,0,NA,NA,"On Reviewer Request",2,3.66666666666667,"4",2,0
"polar record",3,"Not Expected At All",2,"Encouraged",2,2,NA,NA,0,"Not Expected At All",3,"Not Mentioned",2,2,NA,NA,1
"polar research",3,"Not Expected At All",2,"Not Mentioned",2,5,"No_Rating",2,2,"Not Expected At All",2,"Not Mentioned",2,4,"No_Rating",2,2
"polar science",3,"During Peer Review",2,"Mandated",2,3.66666666666667,NA,NA,0,"During Peer Review",2,NA,NA,3,"2",2,0
"polish journal of ecology",3,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2
"polish polar research",3,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0
"population ecology",3,"Not Expected At All",2,"Encouraged",3,4,"4",3,0,"Not Expected At All",2,"Encouraged",2,3,"4",2,0
"proceedings of the academy of natural sciences of philadelphia",3,"Not Expected At All",2,"Not Mentioned",2,4,"No_Rating",2,2,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"proceedings of the linnean society of new south wales",3,"Unclear",2,"Not Mentioned",3,1,"No_Rating",2,2,"Unclear",2,"Not Mentioned",3,1,"No_Rating",2,2
"proceedings of the national academy of sciences: usa",3,"During Peer Review",3,"Mandated",2,4.33333333333333,"5",2,0,"During Peer Review",3,"Mandated",2,4.33333333333333,"5",2,0
"proceedings of the royal society b-biological sciences",3,"During Peer Review",3,"Mandated",3,5,"5",3,0,"During Peer Review",3,"Mandated",3,5,"5",3,0
"rangeland ecology & management",3,"After Acceptance (Post-Publication)",2,"Encouraged",3,3.66666666666667,"4",2,0,"After Acceptance (Post-Publication)",2,"Encouraged",3,3.66666666666667,"4",2,0
"rangeland journal",3,"During Peer Review",2,"Encouraged",3,4,NA,NA,0,"During Peer Review",2,"Encouraged",2,3.5,NA,NA,1
"regional studies in marine science",3,NA,NA,"Mandated",3,3.33333333333333,"3",2,0,NA,NA,"Mandated",2,2.33333333333333,"3",2,0
"remote sensing",3,"After Acceptance (Post-Publication)",2,"Encouraged",3,2.66666666666667,"2",2,0,"After Acceptance (Post-Publication)",2,"Encouraged",2,2.33333333333333,"2",2,0
"remote sensing in ecology and conservation",3,"During Peer Review",2,"Mandated",2,2.66666666666667,NA,NA,0,"Unclear",2,"Encouraged",2,2.33333333333333,"3",2,0
"restoration ecology",3,NA,NA,"Encouraged",2,3.33333333333333,NA,NA,0,NA,NA,"Not Mentioned",2,1,"No_Rating",2,2
"reviews in fish biology and fisheries",3,"During Peer Review",2,"Encouraged",3,3.66666666666667,"3",2,0,"Not Expected At All",2,"Not Mentioned",2,3,"No_Rating",2,2
"revista chilena de historia natural",3,NA,NA,"Not Mentioned",2,2,"No_Rating",2,2,NA,NA,"Not Mentioned",3,NA,NA,NA,0
"russian journal of biological invasions",3,NA,NA,NA,NA,2.5,NA,NA,1,NA,NA,NA,NA,2.5,NA,NA,1
"russian journal of ecology",3,NA,NA,NA,NA,2,"2",2,1,NA,NA,NA,NA,2,"2",2,1
"science",3,"During Peer Review",2,"Mandated",3,4,NA,NA,0,NA,NA,NA,NA,3.66666666666667,"4",2,0
"science advances",3,"Unclear",2,"Mandated",2,4,NA,NA,0,NA,NA,NA,NA,3,"4",2,0
"science of the total environment",3,NA,NA,NA,NA,4.33333333333333,"5",2,0,"Unclear",2,NA,NA,3,"3",2,1
"scientific reports",3,"During Peer Review",3,"Mandated",2,4.33333333333333,"4",2,0,"During Peer Review",2,NA,NA,3,NA,NA,0
"soil ecology letters",3,"During Peer Review",2,"On Reviewer Request",2,4,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"south of russia-ecology development",3,"Not Expected At All",3,"Not Mentioned",2,4,"No_Rating",2,2,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"southeastern naturalist",3,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"southwestern naturalist",3,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"systematic biology",3,"During Peer Review",3,"Mandated",3,4.33333333333333,"5",2,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"systematic botany",3,"Unclear",2,"Optional for Authors",2,3.66666666666667,"3",2,0,"Not Expected At All",2,"Optional for Authors",2,3,"No_Rating",2,2
"systematic entomology",3,"Unclear",2,"Mandated",2,4.66666666666667,"5",2,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"taxon",3,"Unclear",3,"Mandated",3,4.33333333333333,"5",2,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"theoretical and applied ecology",3,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"theoretical ecology",3,"Unclear",2,"Encouraged",3,4.66666666666667,"5",2,0,"Not Expected At All",2,"Not Mentioned",2,2.5,NA,NA,1
"theoretical population biology",3,"Unclear",2,"Mandated",2,1.66666666666667,"2",2,0,"Unclear",2,"Mandated",2,1.66666666666667,"2",2,0
"trends in ecology & evolution",3,"After Acceptance (Post-Publication)",2,"Mandated",2,3.66666666666667,NA,NA,0,"Unclear",2,"Not Mentioned",3,2,"No_Rating",2,2
"tropical ecology",3,NA,NA,"Not Mentioned",2,4,"No_Rating",2,2,NA,NA,"Not Mentioned",2,4,"No_Rating",2,2
"tropics",3,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",2,"Not Mentioned",3,NA,NA,NA,0
"urban ecosystems",3,"Unclear",2,"Encouraged",3,4.33333333333333,"4",2,0,"Unclear",2,"Not Mentioned",3,NA,NA,NA,0
"vestnik tomskogo gosudarstvennogo universiteta-biologiya",3,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"vie et milieu-life and environment",3,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"web ecology",3,"After Acceptance (Post-Publication)",2,"Encouraged",2,4,NA,NA,0,"Unclear",2,"Encouraged",2,4,NA,NA,0
"western north american naturalist",3,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"wetlands",3,"Unclear",2,"Encouraged",3,4.33333333333333,"4",2,0,"Unclear",2,"Not Mentioned",2,5,"No_Rating",2,2
"wetlands ecology and management",3,NA,NA,"Encouraged",3,4.66666666666667,"5",2,0,"Not Expected At All",2,"Not Mentioned",2,5,"No_Rating",2,2
"wildlife biology",3,"After Acceptance (Post-Publication)",3,"Mandated",3,4,"5",2,0,"Unclear",2,"Optional for Authors",2,4,"4",2,1
"wildlife monographs",3,"During Peer Review",2,"Mandated",3,4,NA,NA,0,NA,NA,"Not Mentioned",2,2,"No_Rating",2,2
"wildlife research",3,"Unclear",2,"Encouraged",3,4.66666666666667,"5",2,0,NA,NA,"Encouraged",2,4.5,NA,NA,1
"zoologica scripta",3,"Unclear",3,NA,NA,3.5,NA,NA,1,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
