MergeID,Timestamp,Email.Address,Name.of.Reviewer,Name.of.Journal,When.was.the.earliest.the.journal.expected.data.to.be.provided..x,How.strict.is.this.policy...Data.policy.,Provide.the.text.that.mentions.the.above.statement..if.possible..,How.clear.do.you.think.this.statement.is.,Where.was.the.data.policy.located...provide.a.url.to.the.specific.page..if.any.,Any.other.comments.,When.was.the.earliest.the.journal.expected.code.to.be.provided..x,How.strict.is.this.policy...Code.Policy.,Provide.the.text.that.mentions.the.above.statement..if.possible...1,How.clear.do.you.think.this.statement.is..1,Where.was.the.data.policy.located...provide.a.url.to.the.specific.page..if.any..1,Any.other.comments..1
anon_ID_104,10/17/2023 20:44:20,[redacted],[redacted],"ecology, environment and conservation",Not Expected At All,Not Mentioned,N/A,5,http://www.envirobiotechjournals.com/author-guidelines-review-policy-publication-charges.php,,Not Expected At All,Not Mentioned,N/A,5,http://www.envirobiotechjournals.com/author-guidelines-review-policy-publication-charges.php,
anon_ID_105,10/17/2023 20:46:40,[redacted],[redacted],ecoscience,Unclear,Encouraged,"This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.

Authors are encouraged to deposit the dataset(s) in a recognized data repository that can mint a persistent digital identifier, preferably a digital object identifier (DOI) and recognizes a long-term preservation plan. If you are uncertain about where to deposit your data, please see this information regarding repositories.

Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement.

At the point of submission, you will be asked if there is a data set associated with the paper. If you reply yes, you will be asked to provide the DOI, pre-registered DOI, hyperlink, or other persistent identifier associated with the data set(s). If you have selected to provide a pre-registered DOI, please be prepared to share the reviewer URL associated with your data deposit, upon request by reviewers.

Where one or multiple data sets are associated with a manuscript, these are not formally peer reviewed as a part of the journal submission process. It is the author’s responsibility to ensure the soundness of data. Any errors in the data rest solely with the producers of the data set(s).",1,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=teco20#dsp,,Not Expected At All,Not Mentioned,,5,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=teco20#dsp,
anon_ID_106,10/17/2023 20:51:06,[redacted],[redacted],ecosistemas,During Peer Review,Mandated,"The data must be publicly available at the time of submission in some stable, online repository.",3,https://www.revistaecosistemas.net/index.php/ecosistemas/about/submissions,Would help to get this checked by a native Spanish speaker.,Not Expected At All,Not Mentioned,,5,https://www.revistaecosistemas.net/index.php/ecosistemas/about/submissions,Would help to get this checked by a native Spanish speaker.
anon_ID_107,10/17/2023 20:57:46,[redacted],[redacted],ecosphere,During Peer Review,Mandated,"ESA has adopted a society-wide Open Research Policy for its publications to further support scientific exploration and preservation, allow a full assessment of published research, and streamline policies across our family of journals. An open research policy provides full transparency for scientific data and code, facilitates replication and synthesis, and aligns ESA journals with current standards. As of 1 February 2021, all new manuscript submissions to ESA journals must abide by the following policy.

As a condition for publication in ESA journals, all underlying data and novel statistical code pertinent to the results presented in the publication must be made available in a permanent, publicly accessible data archive or repository upon acceptance of a manuscript, with rare exceptions (see the “Details” tab for more information). Archived data and novel statistical code should be sufficiently complete to allow replication of tables, graphs, and statistical analyses reported in the original publication, and perform new or meta-analyses. As such, the desire of authors to control additional research with these data and/or code shall not be grounds for withholding material.

Thus, for the purpose of this policy, the following underlying material is required:

Raw data and metadata used to generate tables, figures, plots, videos/animations
Novel code or computer software utilized to generate results or analyses
All methods or protocols utilized to generate the data, both existing (including references) and new methods/protocols
Derived data products // Raw data, metadata, and derived data products must be provided in an appropriate external archive if a manuscript is accepted. At the submission stage for most ESA manuscript types and journals (see the exceptions above), data should not be uploaded alongside your submission in the file list. Authors are not required to provide data at the submission stage, but it is strongly encouraged that authors deposit data in an external repository prior to manuscript submission to allow Subject-matter Editors and reviewers access. Many repositories now offer a private-for-peer-review option and we strongly encourage authors to use this approach.

Novel code must be supplied as private-for-peer review in an external repository during the review process. At the submission stage, code should not be uploaded with your submission in the file list. // In addition to our requirements for the presentation and archival of data and novel code, restrictions on the inclusion and formatting of specific pieces of supporting information are now in effect. The following items can only be made available as part of our Open Research Policy and cannot be included with a submission in the file list:

1) Spreadsheets (.xlsx, .csv, etc.)
2) Large tables

If the above items are included with your submission, your manuscript will be returned to you to ensure it follows our Open Research policy guidelines. The “Appendix” and “Data” designations should be considered a simple naming convention used to identify which material will be presented in PDF format (appendices) or spreadsheet format (data). For a definition of a “large table” please see “How do I know if my table is allowed as supporting information?” in our FAQ section.

After Acceptance
Following manuscript acceptance, complete data and novel code must be registered in a repository to be made available at the time of publication. ESA Publications staff will verify data and code archiving is complete before releasing files to the publisher. By depositing data and code prior to publication of a manuscript, a permanent link and formal citation can be included in the published paper.
",4,https://www.esa.org/publications/data-policy/#details,,During Peer Review,Mandated,"ESA has adopted a society-wide Open Research Policy for its publications to further support scientific exploration and preservation, allow a full assessment of published research, and streamline policies across our family of journals. An open research policy provides full transparency for scientific data and code, facilitates replication and synthesis, and aligns ESA journals with current standards. As of 1 February 2021, all new manuscript submissions to ESA journals must abide by the following policy.

As a condition for publication in ESA journals, all underlying data and novel statistical code pertinent to the results presented in the publication must be made available in a permanent, publicly accessible data archive or repository upon acceptance of a manuscript, with rare exceptions (see the “Details” tab for more information). Archived data and novel statistical code should be sufficiently complete to allow replication of tables, graphs, and statistical analyses reported in the original publication, and perform new or meta-analyses. As such, the desire of authors to control additional research with these data and/or code shall not be grounds for withholding material.

Thus, for the purpose of this policy, the following underlying material is required:

Raw data and metadata used to generate tables, figures, plots, videos/animations
Novel code or computer software utilized to generate results or analyses
All methods or protocols utilized to generate the data, both existing (including references) and new methods/protocols
Derived data products // Raw data, metadata, and derived data products must be provided in an appropriate external archive if a manuscript is accepted. At the submission stage for most ESA manuscript types and journals (see the exceptions above), data should not be uploaded alongside your submission in the file list. Authors are not required to provide data at the submission stage, but it is strongly encouraged that authors deposit data in an external repository prior to manuscript submission to allow Subject-matter Editors and reviewers access. Many repositories now offer a private-for-peer-review option and we strongly encourage authors to use this approach.

Novel code must be supplied as private-for-peer review in an external repository during the review process. At the submission stage, code should not be uploaded with your submission in the file list. // In addition to our requirements for the presentation and archival of data and novel code, restrictions on the inclusion and formatting of specific pieces of supporting information are now in effect. The following items can only be made available as part of our Open Research Policy and cannot be included with a submission in the file list:

1) Spreadsheets (.xlsx, .csv, etc.)
2) Large tables

If the above items are included with your submission, your manuscript will be returned to you to ensure it follows our Open Research policy guidelines. The “Appendix” and “Data” designations should be considered a simple naming convention used to identify which material will be presented in PDF format (appendices) or spreadsheet format (data). For a definition of a “large table” please see “How do I know if my table is allowed as supporting information?” in our FAQ section.

After Acceptance
Following manuscript acceptance, complete data and novel code must be registered in a repository to be made available at the time of publication. ESA Publications staff will verify data and code archiving is complete before releasing files to the publisher. By depositing data and code prior to publication of a manuscript, a permanent link and formal citation can be included in the published paper.
",4,https://www.esa.org/publications/data-policy/#details,
anon_ID_108,10/17/2023 20:59:52,[redacted],[redacted],ecosystem health and sustainability,During Peer Review,Mandated,"ESA has adopted a society-wide Open Research Policy for its publications to further support scientific exploration and preservation, allow a full assessment of published research, and streamline policies across our family of journals. An open research policy provides full transparency for scientific data and code, facilitates replication and synthesis, and aligns ESA journals with current standards. As of 1 February 2021, all new manuscript submissions to ESA journals must abide by the following policy.

As a condition for publication in ESA journals, all underlying data and novel statistical code pertinent to the results presented in the publication must be made available in a permanent, publicly accessible data archive or repository upon acceptance of a manuscript, with rare exceptions (see the “Details” tab for more information). Archived data and novel statistical code should be sufficiently complete to allow replication of tables, graphs, and statistical analyses reported in the original publication, and perform new or meta-analyses. As such, the desire of authors to control additional research with these data and/or code shall not be grounds for withholding material.

Thus, for the purpose of this policy, the following underlying material is required:

Raw data and metadata used to generate tables, figures, plots, videos/animations
Novel code or computer software utilized to generate results or analyses
All methods or protocols utilized to generate the data, both existing (including references) and new methods/protocols
Derived data products// Raw data, metadata, and derived data products must be provided in an appropriate external archive if a manuscript is accepted. At the submission stage for most ESA manuscript types and journals (see the exceptions above), data should not be uploaded alongside your submission in the file list. Authors are not required to provide data at the submission stage, but it is strongly encouraged that authors deposit data in an external repository prior to manuscript submission to allow Subject-matter Editors and reviewers access. Many repositories now offer a private-for-peer-review option and we strongly encourage authors to use this approach.

Novel code must be supplied as private-for-peer review in an external repository during the review process. At the submission stage, code should not be uploaded with your submission in the file list.

Supporting Information Restrictions
In addition to our requirements for the presentation and archival of data and novel code, restrictions on the inclusion and formatting of specific pieces of supporting information are now in effect. The following items can only be made available as part of our Open Research Policy and cannot be included with a submission in the file list:

1) Spreadsheets (.xlsx, .csv, etc.)
2) Large tables

If the above items are included with your submission, your manuscript will be returned to you to ensure it follows our Open Research policy guidelines. The “Appendix” and “Data” designations should be considered a simple naming convention used to identify which material will be presented in PDF format (appendices) or spreadsheet format (data). For a definition of a “large table” please see “How do I know if my table is allowed as supporting information?” in our FAQ section.

After Acceptance
Following manuscript acceptance, complete data and novel code must be registered in a repository to be made available at the time of publication. ESA Publications staff will verify data and code archiving is complete before releasing files to the publisher. By depositing data and code prior to publication of a manuscript, a permanent link and formal citation can be included in the published paper.",4,https://www.esa.org/publications/data-policy/#details,,During Peer Review,Mandated,"ESA has adopted a society-wide Open Research Policy for its publications to further support scientific exploration and preservation, allow a full assessment of published research, and streamline policies across our family of journals. An open research policy provides full transparency for scientific data and code, facilitates replication and synthesis, and aligns ESA journals with current standards. As of 1 February 2021, all new manuscript submissions to ESA journals must abide by the following policy.

As a condition for publication in ESA journals, all underlying data and novel statistical code pertinent to the results presented in the publication must be made available in a permanent, publicly accessible data archive or repository upon acceptance of a manuscript, with rare exceptions (see the “Details” tab for more information). Archived data and novel statistical code should be sufficiently complete to allow replication of tables, graphs, and statistical analyses reported in the original publication, and perform new or meta-analyses. As such, the desire of authors to control additional research with these data and/or code shall not be grounds for withholding material.

Thus, for the purpose of this policy, the following underlying material is required:

Raw data and metadata used to generate tables, figures, plots, videos/animations
Novel code or computer software utilized to generate results or analyses
All methods or protocols utilized to generate the data, both existing (including references) and new methods/protocols
Derived data products// Raw data, metadata, and derived data products must be provided in an appropriate external archive if a manuscript is accepted. At the submission stage for most ESA manuscript types and journals (see the exceptions above), data should not be uploaded alongside your submission in the file list. Authors are not required to provide data at the submission stage, but it is strongly encouraged that authors deposit data in an external repository prior to manuscript submission to allow Subject-matter Editors and reviewers access. Many repositories now offer a private-for-peer-review option and we strongly encourage authors to use this approach.

Novel code must be supplied as private-for-peer review in an external repository during the review process. At the submission stage, code should not be uploaded with your submission in the file list.

Supporting Information Restrictions
In addition to our requirements for the presentation and archival of data and novel code, restrictions on the inclusion and formatting of specific pieces of supporting information are now in effect. The following items can only be made available as part of our Open Research Policy and cannot be included with a submission in the file list:

1) Spreadsheets (.xlsx, .csv, etc.)
2) Large tables

If the above items are included with your submission, your manuscript will be returned to you to ensure it follows our Open Research policy guidelines. The “Appendix” and “Data” designations should be considered a simple naming convention used to identify which material will be presented in PDF format (appendices) or spreadsheet format (data). For a definition of a “large table” please see “How do I know if my table is allowed as supporting information?” in our FAQ section.

After Acceptance
Following manuscript acceptance, complete data and novel code must be registered in a repository to be made available at the time of publication. ESA Publications staff will verify data and code archiving is complete before releasing files to the publisher. By depositing data and code prior to publication of a manuscript, a permanent link and formal citation can be included in the published paper.",4,https://www.esa.org/publications/data-policy/#details,
anon_ID_109,10/17/2023 21:07:00,[redacted],[redacted],ecosystem services,Unclear,Encouraged,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.
Below are a number of ways in which you can associate data with your article or make a statement about the availability of your data when submitting your manuscript. When sharing data in one of these ways, you are expected to cite the data in your manuscript and reference list. Please refer to the ""References"" section for more information about data citation. For more information on depositing, sharing and using research data and other relevant research materials, visit the research data page.

Data linking
If you have made your research data available in a data repository, you can link your article directly to the dataset. Elsevier collaborates with a number of repositories to link articles on ScienceDirect with relevant repositories, giving readers access to underlying data that gives them a better understanding of the research described.
There are different ways to link your datasets to your article. When available, you can directly link your dataset to your article by providing the relevant information in the submission system. For more information, visit the database linking page.

For supported data repositories a repository banner will automatically appear next to your published article on ScienceDirect.

In addition, you can link to relevant data or entities through identifiers within the text of your manuscript, using the following format: Database: xxxx (e.g., TAIR: AT1G01020; CCDC: 734053; PDB: 1XFN).

Research Elements

This journal enables you to publish research objects related to your original research – such as data, methods, protocols, software and hardware – as an additional paper in a Research Elements journal.
Research Elements is a suite of peer-reviewed, open access journals which make your research objects findable, accessible and reusable. Articles place research objects into context by providing detailed descriptions of objects and their application, and linking to the associated original research articles. Research Elements articles can be prepared by you, or by one of your collaborators.

During submission, you will be alerted to the opportunity to prepare and submit a manuscript to one of the Research Elements journals.

More information can be found on the Research Elements page.

Data statement
To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. This may also be a requirement of your funding body or institution. You will have the opportunity to provide a data statement during the submission process. The statement will appear with your published article on ScienceDirect. For more information, visit the Data Statement page..",1,https://www.sciencedirect.com/journal/ecosystem-services/publish/guide-for-authors,,Unclear,Encouraged,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.
Below are a number of ways in which you can associate data with your article or make a statement about the availability of your data when submitting your manuscript. When sharing data in one of these ways, you are expected to cite the data in your manuscript and reference list. Please refer to the ""References"" section for more information about data citation. For more information on depositing, sharing and using research data and other relevant research materials, visit the research data page.

Data linking
If you have made your research data available in a data repository, you can link your article directly to the dataset. Elsevier collaborates with a number of repositories to link articles on ScienceDirect with relevant repositories, giving readers access to underlying data that gives them a better understanding of the research described.
There are different ways to link your datasets to your article. When available, you can directly link your dataset to your article by providing the relevant information in the submission system. For more information, visit the database linking page.

For supported data repositories a repository banner will automatically appear next to your published article on ScienceDirect.

In addition, you can link to relevant data or entities through identifiers within the text of your manuscript, using the following format: Database: xxxx (e.g., TAIR: AT1G01020; CCDC: 734053; PDB: 1XFN).

Research Elements

This journal enables you to publish research objects related to your original research – such as data, methods, protocols, software and hardware – as an additional paper in a Research Elements journal.
Research Elements is a suite of peer-reviewed, open access journals which make your research objects findable, accessible and reusable. Articles place research objects into context by providing detailed descriptions of objects and their application, and linking to the associated original research articles. Research Elements articles can be prepared by you, or by one of your collaborators.

During submission, you will be alerted to the opportunity to prepare and submit a manuscript to one of the Research Elements journals.

More information can be found on the Research Elements page.

Data statement
To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. This may also be a requirement of your funding body or institution. You will have the opportunity to provide a data statement during the submission process. The statement will appear with your published article on ScienceDirect. For more information, visit the Data Statement page..",1,https://www.sciencedirect.com/journal/ecosystem-services/publish/guide-for-authors,
anon_ID_110,10/17/2023 21:16:55,[redacted],[redacted],ecosystems,Unclear,Encouraged,"Authors should post their data with complete metadata in a form that is sufficiently complete for
readers to recreate results in the paper. In addition, authors should also post any novel statistical or
mathematical code such that results can be reproduced. Data should be posted on a globally available
repository such as Dryad, Environmental Data Initative (EDI), or Zenodo. Data citations including DOI
should be included under Data Availability before the Literature Cited. // DATA AVAILABILITY. Include the citation and DOI for the data, metatdata, and novel statistical and
mathematical code used to generate results of this study. Data should be posted in a globally available
repository such as Dryad, Environmental Data Initiative (EDI), or Zenodo.",1,https://www.springer.com/journal/10021/submission-guidelines,have to download instructions,Unclear,Encouraged,"Authors should post their data with complete metadata in a form that is sufficiently complete for
readers to recreate results in the paper. In addition, authors should also post any novel statistical or
mathematical code such that results can be reproduced. Data should be posted on a globally available
repository such as Dryad, Environmental Data Initative (EDI), or Zenodo. Data citations including DOI
should be included under Data Availability before the Literature Cited. // DATA AVAILABILITY. Include the citation and DOI for the data, metatdata, and novel statistical and
mathematical code used to generate results of this study. Data should be posted in a globally available
repository such as Dryad, Environmental Data Initiative (EDI), or Zenodo.",1,https://www.springer.com/journal/10021/submission-guidelines,have to download instructions
anon_ID_111,10/17/2023 21:22:07,[redacted],[redacted],ecotoxicology,Not Expected At All,Encouraged,"This journal operates a type 1 research data policy. The journal encourages authors, where possible and applicable, to deposit data that support the findings of their research in a public repository. Authors and editors who do not have a preferred repository should consult Springer Nature’s list of repositories and research data policy. // We strongly encourage that all research data are made available to readers without undue restrictions. For some types of data, submission to a community-endorsed, public repository is mandatory. See our guidance on mandatory data deposition for more information. 

We recognise that some data, such as data about identifiable human research participants, cannot be shared openly. Where data cannot be shared, an adequate reason should be provided in the Data Availability Statement.

Reviewers and editors may request access to datasets that are not publicly available. // All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations.",4,https://www.springer.com/journal/10646/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy,Springer policy: https://www.springernature.com/gp/authors/research-data-policy/data-policy-faqs,Not Expected At All,Encouraged,"The above should be summarized in a statement and placed in a ‘Declarations’ section before the reference list under a heading of ‘Funding’ and/or ‘Competing interests’. Other declarations include Ethics approval, Consent, Data, Material and/or Code availability and Authors’ contribution statements // All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations.",2,https://www.springer.com/journal/10646/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy,
anon_ID_112,10/17/2023 21:25:43,[redacted],[redacted],elife,Unclear,Mandated,"To maintain high standards of research reproducibility, and to promote the reuse of new findings, eLife requires all data associated with an article to be made freely and widely available. These must be in the most useful formats and according to the relevant reporting standards, unless there are compelling legal or ethical reasons to restrict access. The provision of data should comply with FAIR principles (Findable, Accessible, Interoperable, Reusable).

Specifically, authors must make all original data used to support the claims of the paper, or that is required to reproduce them, available in the manuscript text, tables, figures or supplementary materials, or at a trusted digital repository (the latter is recommended). This must include all variables, treatment conditions, and observations described in the manuscript. The authors must also provide a full account of the materials and procedures used to collect, pre–process, clean, generate and analyze the data that would enable it to be independently reproduced by other researchers. The authors must ensure the provenance of the data for at least a 10 year period. // All eLife papers must contain a Data Availability Statement that details how all relevant data are being made available, including accession codes and/or other identifiers.",3,https://elife-rp.msubmit.net/html/elife-rp_author_instructions.html#dataavailability,,Not Expected At All,Not Mentioned,,5,https://elife-rp.msubmit.net/html/elife-rp_author_instructions.html#dataavailability,
anon_ID_113,10/17/2023 21:28:13,[redacted],[redacted],environmental biology of fishes,Not Expected At All,Encouraged,"Sharing of all relevant research data is strongly encouraged and authors must add a Data Availability Statement to original research articles.

Research data includes a wide range of types, including spreadsheets, images, textual extracts, archival documents, video or audio, interview notes or any specialist formats generated during research.

Data availability statements
All original research must include a data availability statement. This statement should explain how to access data supporting the results and analysis in the article, including links/citations to publicly archived datasets analysed or generated during the study. Please see our full policy here.

If it is not possible to share research data publicly, for instance when individual privacy could be compromised, this statement should describe how data can be accessed and any conditions for reuse. Participant consent should be obtained and documented prior to data collection. See our guidance on sensitive data for more information.

When creating a data availability statement, authors are encouraged to consider the minimal dataset that would be necessary to interpret, replicate and build upon the findings reported in the article.

Further guidance on writing a data availability statement, including examples, is available at:

Data availability statements

Data repositories
Authors are strongly encouraged to deposit their supporting data in a publicly available repository. Sharing your data in a repository promotes the integrity, discovery and reuse of your research, making it easier for the research community to build on and credit your work.",4,https://www.springer.com/journal/10641/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,,Unclear,Encouraged,"All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations. // The above should be summarized in a statement and placed in a ‘Declarations’ section before the reference list under a heading of ‘Funding’ and/or ‘Competing interests’. Other declarations include Ethics approval, Consent, Data, Material and/or Code availability and Authors’ contribution statements.",2,https://www.springer.com/journal/10641/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,
anon_ID_114,10/17/2023 20:28:07,[redacted],[redacted],biological invasions,Unclear,Encouraged,"""This journal follows Springer Nature research data policy. Sharing of all relevant research data is strongly encouraged and authors must add a Data Availability Statement to original research articles.""",3,https://www.springer.com/journal/10530/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,"They mention that it is strongly encouraged, but then the data availability statement is mandatory. So you have to clearly specify why you didn't deposit data if you refused. ",Unclear,Optional for Authors,"The above should be summarized in a statement and placed in a ‘Declarations’ section before the reference list under a heading of ‘Funding’ and/or ‘Competing interests’. Other declarations include Ethics approval, Consent, Data, Material and/or Code availability and Authors’ contribution statements.",1,https://www.springer.com/journal/10530/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,Very unclear whether code is even required or encouraged. It just states that uploaded code should be supporting your results and that you have to have a header for it... Nothing about encouragement or mandate.
anon_ID_115,10/19/2023 2:51:08,[redacted],[redacted],biological journal of the linnean society,Unclear,Encouraged,"Where ethically feasible, Biological Journal of the Linnean Society strongly encourages authors to make all data and software code on which the conclusions of the paper rely available to readers. Authors are required to include a Data Availability Statement in their article.",3,https://academic.oup.com/biolinnean/pages/General_Instructions,"Unclear at what stage, just that it (i.e. the statement) needs to be in the manuscript",Unclear,Encouraged,"Where ethically feasible, Biological Journal of the Linnean Society strongly encourages authors to make all data and software code on which the conclusions of the paper rely available to readers. Authors are required to include a Data Availability Statement in their article.",2,https://academic.oup.com/biolinnean/pages/General_Instructions,"Unclear at what stage it needs to be available. Also, no separate section on code. It is just muffled into the data part."
anon_ID_116,10/19/2023 2:54:41,[redacted],[redacted],biological reviews,Not Expected At All,Optional for Authors,"Supporting Information can be a useful way for an author to include important but ancillary information with the online version of an article. Examples of Supporting Information include additional tables, data sets, figures, movie files, audio clips, 3D structures, and other related nonessential multimedia files.",1,https://onlinelibrary.wiley.com/page/journal/1469185x/homepage/forauthors.html,,Not Expected At All,Not Mentioned,,NA,https://onlinelibrary.wiley.com/page/journal/1469185x/homepage/forauthors.html,Code not mentioned.
anon_ID_117,10/19/2023 2:59:54,[redacted],[redacted],biology letters,During Peer Review,Mandated,"We require supporting data and information, including source code and other digital research materials, to be made available at the time of submission.",5,https://royalsocietypublishing.org/rsbl/for-authors,,During Peer Review,Mandated,"We require supporting data and information, including source code and other digital research materials, to be made available at the time of submission.",3,https://royalsocietypublishing.org/rsbl/for-authors,"They also link to an extra page on data and code (https://royalsociety.org/journals/ethics-policies/data-sharing-mining/). This was much more clear and I would have given this a '4' for clarity but was unsure whether it was allowed to link to this more generic page, because it is for all Royal Society journals and not just Biology Letters"
anon_ID_118,10/19/2023 3:08:17,[redacted],[redacted],biology open,After Acceptance (Post-Publication),Encouraged,Datasets should be made publicly available at the time of publication.,2,https://journals.biologists.com/bio/pages/manuscript-prep,"Also another statement on another page (https://journals.biologists.com/bio/pages/journal-policies#data): In addition to the data types detailed above, BiO encourages authors to make all data underlying their research available to the community.",Unclear,Encouraged,"We strongly encourage authors to make software and source code publicly available, for example, on GitHub. As a minimum, authors must be willing to make software or source code available to readers with minimal restrictions.",2,https://journals.biologists.com/bio/pages/journal-policies#data,"No mention of it at the ""manuscript preparation"" page. Only on the other page linked here."
anon_ID_119,10/19/2023 3:12:18,[redacted],[redacted],biosystems diversity,During Peer Review,On Reviewer Request,"Authors could be asked to provide the raw data of their study in connection with a paper for editorial review, and should be prepared to provide public access to such data if practicable. Authors should in any event be prepared to retain such data for a reasonable time after publication. The confidentiality of the participants can be protected and legal rights concerning proprietary data do not preclude their release.",2,https://ecology.dp.ua/index.php/ECO/publication-ethics,"This information was missing from ""Author Guidelines""",Not Expected At All,Not Mentioned,,NA,,No mention of code.
anon_ID_120,10/19/2023 3:16:36,[redacted],[redacted],biotropica,Unclear,Mandated,"Biotropica requires all data used in the research to be archived in an appropriate public repository when possible. Authors may elect to embargo access to their archived data for up to 3 years after article publication. Exceptions to the required archiving of data may be granted at the discretion of the Editor‐in‐Chief for studies that include sensitive information (e.g., the location of endangered species). Authors must describe why their data, or part of their dataset, is not available in their data availability statement.",4,https://onlinelibrary.wiley.com/page/journal/17447429/homepage/forauthors.html#data_archiving,,Unclear,Encouraged,Authors are also encouraged to publicly archive the scripts and other artefacts used for the analyses presented in the paper.,2,https://onlinelibrary.wiley.com/page/journal/17447429/homepage/forauthors.html#data_archiving,
anon_ID_121,10/19/2023 3:23:05,[redacted],[redacted],bird conservation international,Unclear,Encouraged,"Where possible we encourage authors to make evidence, data, code, and other materials that underpin their findings available to readers. We encourage the use of Data Availability Statements to describe whether the materials that underpin research findings have been made available to readers, and if so, where.",2,https://www.cambridge.org/core/journals/bird-conservation-international/information/journal-policies/research-transparency,,Unclear,Encouraged,"Where possible we encourage authors to make evidence, data, code, and other materials that underpin their findings available to readers. We encourage the use of Data Availability Statements to describe whether the materials that underpin research findings have been made available to readers, and if so, where.",2,https://www.cambridge.org/core/journals/bird-conservation-international/information/journal-policies/research-transparency,
anon_ID_122,10/19/2023 3:30:51,[redacted],[redacted],bmc ecology and evolution,Unclear,Encouraged,BMC Ecology and Evolution strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible.,3,https://bmcecolevol.biomedcentral.com/submission-guidelines/preparing-your-manuscript/research-article,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_123,10/19/2023 3:40:42,[redacted],[redacted],bulletin of the american museum of natural history,During Peer Review,Mandated,"Additionally, please note that all nontrivial phylogenetic datasets (any larger than two printed pages) must be archived electronically either as supplementary information (see item 5, above) or using other online resources (such as MorphoBank, TreeBase, etc); manuscripts that include analyses based on such data will not be put into production until appropriate URLs or DOIs are provided for their retrieval.",1,https://www.amnh.org/research/scientific-publications/submissions,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_124,10/19/2023 3:44:43,[redacted],[redacted],bulletin of the peabody museum of natural history,Not Expected At All,Optional for Authors,"Bulletin accepts supplementary files meant to accompany published articles. Files must be declared on submission of manuscripts and made available for peer review. Supplementary material may include, but is not limited to, multimedia such as video or audio clips, datasets, tables, and additional figures.",1,https://peabody.yale.edu/explore/publications/bulletin,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_125,10/19/2023 3:49:59,[redacted],[redacted],chemistry and ecology,Unclear,Encouraged,Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,3,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gche20#data-sharing-policy,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_126,10/19/2023 3:56:47,[redacted],[redacted],chemoecology,Unclear,Encouraged,"The journal encourages authors, where possible and applicable, to deposit data that support the findings of their research in a public repository.",4,https://www.springer.com/journal/49/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy,,Not Expected At All,Optional for Authors,"The above should be summarized in a statement and placed in a ‘Declarations’ section before the reference list under a heading of ‘Funding’ and/or ‘Competing interests’. Other declarations include Ethics approval, Consent, Data, Material and/or Code availability and Authors’ contribution statements.",1,https://www.springer.com/journal/49/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy,Just some vague statements that code should support analysis and that you could have a statement (but nothing really mentioning the publication of code).
