"Journals","Reviewer_A","Reviewer_B","Reviewer_notes","Data_timing_DE","Data_timing_agree","Data_timing_FIN","Data_strict_DE","Data_strict_agree","Data_strict_FIN","Code_timing_DE","Code_timing_agree","Code_timing_FIN","Code_strict_DE","Code_strict_agree","Code_strict_FIN"
"journal of experimental biology","","","","During Peer Review","Full (3/3)","During Peer Review","Encouraged","Full (3/3)","Encouraged","After Acceptance (Post-Publication)","Full (3/3)","After Acceptance (Post-Publication)","Encouraged","Partial (2/3)",""
"journal of experimental marine biology and ecology","","","","During Peer Review","Partial (2/3)","","Mandated","Partial (2/3)","","During Peer Review","Partial (2/3)","","Encouraged","Partial (2/3)",""
"journal of experimental zoology part b-molecular and developmental evolution","","","",NA,"None","","Mandated","Full (3/3)","Mandated",NA,"None","","Not Mentioned","Partial (2/3)",""
"journal of fish and wildlife management","","","","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"journal of freshwater ecology","","","","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated","Unclear","Partial (2/3)","","Mandated","Partial (2/3)",""
"journal of heredity","","","","After Acceptance (Post-Publication)","Full (3/3)","After Acceptance (Post-Publication)","Mandated","Full (3/3)","Mandated","During Peer Review","Full (3/3)","During Peer Review","Encouraged","Full (3/3)","Encouraged"
"journal of human evolution","","","","Unclear","Partial (2/3)","","Mandated","Full (3/3)","Mandated","Unclear","Partial (2/3)","","Mandated","Partial (2/3)",""
"journal of molecular evolution","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Partial (2/3)",""
"journal of natural history","","","","During Peer Review","Full (3/3)","During Peer Review","Encouraged","Full (3/3)","Encouraged",NA,"None","","Not Mentioned","Partial (2/3)",""
"journal of plant biology","","","","Not Expected At All","Partial (2/3)","","Optional for Authors","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"journal of plant ecology","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged"
"journal of soil and water conservation","","","","Unclear","Partial (2/3)","","Not Mentioned","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"journal of systematic palaeontology","","","","During Peer Review","Full (3/3)","During Peer Review","Encouraged","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"journal of thermal biology","","","","Unclear","Partial (2/3)","",NA,"None","",NA,"None","",NA,"None",""
"journal of tropical ecology","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged"
"journal of vegetation science","","","","Unclear","Partial (2/3)","","Mandated","Full (3/3)","Mandated","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged"
"journal of wildlife and biodiversity","","","","Not Expected At All","Partial (2/3)","",NA,"None","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"journal of wildlife management","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"journal of zoological systematics and evolutionary research","","","","Unclear","Partial (2/3)","",NA,"None","","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"landscape and ecological engineering","","","","Unclear","Full (3/3)","","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Partial (2/3)",""
"landscape and urban planning","","","","Unclear","Full (3/3)","","Mandated","Partial (2/3)","","Unclear","Partial (2/3)","","Mandated","Partial (2/3)",""
"landscape ecology","","","","Not Expected At All","Partial (2/3)","","Encouraged","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Partial (2/3)",""
"limnology and oceanography","","","","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)","","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)",""
"mammal review","","","","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"marine biology","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Partial (2/3)",""
"marine biology research","","","","During Peer Review","Full (3/3)","During Peer Review","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"marine ecology progress series","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"methods in ecology and evolution","","","","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated"
"microbial ecology","","","","Unclear","Full (3/3)","","Encouraged","Full (3/3)","Encouraged","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)",""
"molecular biology and evolution","","","","After Acceptance (Post-Publication)","Partial (2/3)","","Mandated","Full (3/3)","Mandated",NA,"None","","Mandated","Partial (2/3)",""
"molecular ecology","","","","Unclear","Partial (2/3)","","Mandated","Full (3/3)","Mandated","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)",""
"molecular ecology resources","","","","During Peer Review","Partial (2/3)","","Mandated","Full (3/3)","Mandated","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)",""
"molecular phylogenetics and evolution","","","","During Peer Review","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","During Peer Review","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged"
"movement ecology","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Unclear","Partial (2/3)","",NA,"None",""
"natural areas journal","","","","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"nature","","","","During Peer Review","Partial (2/3)","","Mandated","Full (3/3)","Mandated","During Peer Review","Partial (2/3)","","Mandated","Full (3/3)","Mandated"
"nature climate change","","","","During Peer Review","Partial (2/3)","","Mandated","Partial (2/3)","","During Peer Review","Partial (2/3)","","Mandated","Partial (2/3)",""
"nature communications","","","","During Peer Review","Partial (2/3)","","Mandated","Partial (2/3)","","During Peer Review","Partial (2/3)","","Mandated","Partial (2/3)",""
"nature ecology & evolution","","","","During Peer Review","Partial (2/3)","","Mandated","Partial (2/3)","","During Peer Review","Partial (2/3)","","Mandated","Partial (2/3)",""
"neobiota","","","","Unclear","Full (3/3)","","Encouraged","Full (3/3)","Encouraged","Unclear","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"neotropical biodiversity","","","","Unclear","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"new phytologist","","","","After Acceptance (Post-Publication)","Partial (2/3)","","Mandated","Full (3/3)","Mandated","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)",""
"new zealand journal of ecology","","","","Not Expected At All","Full (3/3)","Not Expected At All","Optional for Authors","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Optional for Authors","Partial (2/3)",""
"northeastern naturalist","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"northwest science","","","",NA,"None","","Not Mentioned","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"oecologia","","","",NA,"None","","Encouraged","Partial (2/3)","",NA,"None","","On Reviewer Request","Partial (2/3)",""
"oikos","","","","After Acceptance (Post-Publication)","Full (3/3)","After Acceptance (Post-Publication)","Mandated","Full (3/3)","Mandated","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"organisms diversity & evolution","","","","During Peer Review","Partial (2/3)","","On Reviewer Request","Partial (2/3)","","During Peer Review","Full (3/3)","During Peer Review","On Reviewer Request","Full (3/3)","On Reviewer Request"
"oryx","","","",NA,"None","","Encouraged","Partial (2/3)","",NA,"None","","Encouraged","Partial (2/3)",""
"paleobiology","","","","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"pedobiologia","","","","Unclear","Full (3/3)","","Mandated","Partial (2/3)","","Unclear","Full (3/3)","","Optional for Authors","Partial (2/3)",""
"people and nature","","","","After Acceptance (Post-Publication)","Partial (2/3)","","Mandated","Full (3/3)","Mandated",NA,"None","","Mandated","Partial (2/3)",""
"perspectives in plant ecology evolution and systematics","","","","Unclear","Full (3/3)","","Mandated","Partial (2/3)","","Unclear","Partial (2/3)","",NA,"None",""
"philosophical transactions of the royal society b: biological sciences","","","","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated"
"phytocoenologia","","","",NA,"None","","Encouraged","Partial (2/3)","","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"plankton biology and ecology ( ""plankton biology and ecology"" has changed name to ""plankton and benthos research"" in 2006)","","","","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)","","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"plant biology","","","","After Acceptance (Post-Publication)","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged",NA,"None","","Encouraged","Partial (2/3)",""
"plant ecology","","","",NA,"None","","Encouraged","Partial (2/3)","",NA,"None","",NA,"None",""
"plant ecology and diversity","","","","During Peer Review","Full (3/3)","During Peer Review",NA,"None","","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"plant physiology","","","",NA,"None","","Mandated","Partial (2/3)","","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"plant species biology","","","","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)","","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)",""
"plant systematics and evolution","","","",NA,"None","","Encouraged","Full (3/3)","Encouraged",NA,"None","","On Reviewer Request","Partial (2/3)",""
"plants people planet","","","","After Acceptance (Post-Publication)","Partial (2/3)","",NA,"None","",NA,"None","",NA,"None",""
"plos biology","","","","After Acceptance (Post-Publication)","Partial (2/3)","","Mandated","Full (3/3)","Mandated","After Acceptance (Post-Publication)","Partial (2/3)","","Encouraged","Partial (2/3)",""
"polar biology","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged",NA,"None","","On Reviewer Request","Partial (2/3)",""
"polar record","","","","Not Expected At All","Partial (2/3)","","Encouraged","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Partial (2/3)",""
"polar research","","","","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)","","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"polar science","","","","During Peer Review","Partial (2/3)","","Mandated","Partial (2/3)","","During Peer Review","Partial (2/3)","",NA,"None",""
"polish journal of ecology","","","","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"polish polar research","","","","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"population ecology","","","","Not Expected At All","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Partial (2/3)","","Encouraged","Partial (2/3)",""
"proceedings of the academy of natural sciences of philadelphia","","","","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"proceedings of the linnean society of new south wales","","","","Unclear","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned","Unclear","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"proceedings of the national academy of sciences: usa","","","","During Peer Review","Full (3/3)","During Peer Review","Mandated","Partial (2/3)","","During Peer Review","Full (3/3)","During Peer Review","Mandated","Partial (2/3)",""
"proceedings of the royal society b-biological sciences","","","","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated"
"rangeland ecology & management","","","","After Acceptance (Post-Publication)","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","After Acceptance (Post-Publication)","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged"
"rangeland journal","","","","During Peer Review","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","During Peer Review","Partial (2/3)","","Encouraged","Partial (2/3)",""
"regional studies in marine science","","","",NA,"None","","Mandated","Full (3/3)","Mandated",NA,"None","","Mandated","Partial (2/3)",""
"remote sensing","","","","After Acceptance (Post-Publication)","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","After Acceptance (Post-Publication)","Partial (2/3)","","Encouraged","Partial (2/3)",""
"remote sensing in ecology and conservation","","","","During Peer Review","Partial (2/3)","","Mandated","Partial (2/3)","","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)",""
"restoration ecology","","","",NA,"None","","Encouraged","Partial (2/3)","",NA,"None","","Not Mentioned","Partial (2/3)",""
"reviews in fish biology and fisheries","","","","During Peer Review","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"revista chilena de historia natural","","","",NA,"None","","Not Mentioned","Partial (2/3)","",NA,"None","","Not Mentioned","Full (3/3)","Not Mentioned"
"russian journal of biological invasions","","","",NA,"None","",NA,"None","",NA,"None","",NA,"None",""
"russian journal of ecology","","","",NA,"None","",NA,"None","",NA,"None","",NA,"None",""
"science","","","","During Peer Review","Partial (2/3)","","Mandated","Full (3/3)","Mandated",NA,"None","",NA,"None",""
"science advances","","","","Unclear","Partial (2/3)","","Mandated","Partial (2/3)","",NA,"None","",NA,"None",""
"science of the total environment","","","",NA,"None","",NA,"None","","Unclear","Partial (2/3)","",NA,"None",""
"scientific reports","","","","During Peer Review","Full (3/3)","During Peer Review","Mandated","Partial (2/3)","","During Peer Review","Partial (2/3)","",NA,"None",""
"soil ecology letters","","","","During Peer Review","Partial (2/3)","","On Reviewer Request","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"south of russia-ecology development","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"southeastern naturalist","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"southwestern naturalist","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"systematic biology","","","","During Peer Review","Full (3/3)","During Peer Review","Mandated","Full (3/3)","Mandated","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"systematic botany","","","","Unclear","Partial (2/3)","","Optional for Authors","Partial (2/3)","","Not Expected At All","Partial (2/3)","","Optional for Authors","Partial (2/3)",""
"systematic entomology","","","","Unclear","Partial (2/3)","","Mandated","Partial (2/3)","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"taxon","","","","Unclear","Full (3/3)","","Mandated","Full (3/3)","Mandated","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"theoretical and applied ecology","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"theoretical ecology","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"theoretical population biology","","","","Unclear","Partial (2/3)","","Mandated","Partial (2/3)","","Unclear","Partial (2/3)","","Mandated","Partial (2/3)",""
"trends in ecology & evolution","","","","After Acceptance (Post-Publication)","Partial (2/3)","","Mandated","Partial (2/3)","","Unclear","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"tropical ecology","","","",NA,"None","","Not Mentioned","Partial (2/3)","",NA,"None","","Not Mentioned","Partial (2/3)",""
"tropics","","","","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"urban ecosystems","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Unclear","Partial (2/3)","","Not Mentioned","Full (3/3)","Not Mentioned"
"vestnik tomskogo gosudarstvennogo universiteta-biologiya","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"vie et milieu-life and environment","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"web ecology","","","","After Acceptance (Post-Publication)","Partial (2/3)","","Encouraged","Partial (2/3)","","Unclear","Partial (2/3)","","Encouraged","Partial (2/3)",""
"western north american naturalist","","","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
"wetlands","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged","Unclear","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"wetlands ecology and management","","","",NA,"None","","Encouraged","Full (3/3)","Encouraged","Not Expected At All","Partial (2/3)","","Not Mentioned","Partial (2/3)",""
"wildlife biology","","","","After Acceptance (Post-Publication)","Full (3/3)","After Acceptance (Post-Publication)","Mandated","Full (3/3)","Mandated","Unclear","Partial (2/3)","","Optional for Authors","Partial (2/3)",""
"wildlife monographs","","","","During Peer Review","Partial (2/3)","","Mandated","Full (3/3)","Mandated",NA,"None","","Not Mentioned","Partial (2/3)",""
"wildlife research","","","","Unclear","Partial (2/3)","","Encouraged","Full (3/3)","Encouraged",NA,"None","","Encouraged","Partial (2/3)",""
"zoologica scripta","","","","Unclear","Full (3/3)","",NA,"None","","Not Expected At All","Full (3/3)","Not Expected At All","Not Mentioned","Full (3/3)","Not Mentioned"
