Journals,Publisher,Publisher-Level Policy,2024_Update?,Reviewer_A,Reviewer_B,Reviewer_notes,Data_timing_DE,Data_timing_agree,Data_timing_FIN,Data_strict_DE,Data_strict_agree,Data_strict_FIN,Code_timing_DE,Code_timing_agree,Code_timing_FIN,Code_strict_DE,Code_strict_agree,Code_strict_FIN
ecological complexity,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,NA,None,Mandated
ecological economics,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,NA,None,Mandated
ecological engineering,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,NA,None,Mandated
ecological indicators,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated
ecological informatics,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Full (3/3),Mandated
ecological management & restoration,Wiley,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged,Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
ecological modelling,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated,Unclear,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated
ecological monographs,ESA,Yes,"Novel code must be supplied as private-for-peer review in an external repository during the review process. At the submission stage, code should not be uploaded with your submission in the file list. Authors are not required to provide data at the submission stage, but it is strongly encouraged that authors deposit data in an external repository prior to manuscript submission to allow Subject-matter Editors and reviewers access",[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),During Peer Review,Mandated,Partial (2/3),Encouraged,After Acceptance (Post-Publication),Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated
ecological processes,SpringerOpen,Yes,"Any previously unreported software application or custom code described in the manuscript should be available for testing by reviewers in a way that preserves their anonymity. For all journals, SpringerOpen strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers, and where there is a community established norm for data sharing, SpringerOpen mandates data deposition (for data types with required deposition, see below). ",[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Optional for Authors,Partial (2/3),Encouraged,Not Expected At All,Full (3/3),During Peer Review,NA,None,Encouraged
ecological questions,Akademicka Platforma Czasopism,No,Authors can be asked to provide the raw data in connection with a paper for editorial review.,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Full (3/3),On Reviewer Request,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
ecological research,Wiley,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),NA,None,Encouraged,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
ecological restoration,University of Wisconsin Press,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
ecology,ESA,Yes,"Novel code must be supplied as private-for-peer review in an external repository during the review process. At the submission stage, code should not be uploaded with your submission in the file list. Authors are not required to provide data at the submission stage, but it is strongly encouraged that authors deposit data in an external repository prior to manuscript submission to allow Subject-matter Editors and reviewers access",[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),During Peer Review,Mandated,Full (3/3),Encouraged,After Acceptance (Post-Publication),Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated
ecology and evolution,Wiley,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated
ecology and society,Ecology and Society,No,NA,[redacted],[redacted],[redacted],NA,None,After Acceptance (Post-Publication),NA,None,Optional for Authors,NA,None,After Acceptance (Post-Publication),NA,None,Optional for Authors
ecology letters,Wiley,No,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated
"ecology, environment and conservation",EM International,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
ecoscience,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Encouraged,Full (3/3),Optional for Authors,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Full (3/3),On Reviewer Request
ecosistemas,Spanish Association of Terrestrial Ecology,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Mandated,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Full (3/3),Mandated
ecosphere,ESA,Yes,"Novel code must be supplied as private-for-peer review in an external repository during the review process. At the submission stage, code should not be uploaded with your submission in the file list. Authors are not required to provide data at the submission stage, but it is strongly encouraged that authors deposit data in an external repository prior to manuscript submission to allow Subject-matter Editors and reviewers access",[redacted],[redacted],[redacted],NA,None,During Peer Review,Mandated,Full (3/3),Encouraged,NA,None,During Peer Review,Mandated,Full (3/3),Mandated
ecosystem health and sustainability,Science Partner Journals,Yes,NA,[redacted],[redacted],[redacted],NA,None,After Acceptance (Post-Publication),Mandated,Partial (2/3),Mandated,NA,None,After Acceptance (Post-Publication),Mandated,Partial (2/3),Mandated
ecosystem services,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Mandated,Partial (2/3),Mandated,Unclear,Full (3/3),During Peer Review,NA,None,Mandated
ecosystems,Springer Nature ,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Mandated,Partial (2/3),Encouraged,Unclear,Partial (2/3),After Acceptance (Post-Publication),Mandated,Partial (2/3),Encouraged
ecotoxicology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
elife,eLife,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),Mandated
environmental biology of fishes,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Unclear,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
environmental evidence,BioMed Central - Springer Nature,Yes,Biomed policy is mandated for some data therefore encoruaged. code is encoruaged due to bmc policy,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),Encouraged,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),Encouraged
environmental pollution,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,NA,None,During Peer Review,Optional for Authors,Partial (2/3),Mandated
ethology,Wiley,No,"Ethology requires authors to (a) provide all data, metadata and code on submission for review by editors and referees and (b) adhere to our minimum standards in data and code archiving set out here and the instructions outlined below.

",[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,NA,None,Mandated
"ethology, ecology and evolution",Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Optional for Authors,Partial (2/3),Optional for Authors,NA,None,During Peer Review,NA,None,On Reviewer Request
european journal of soil biology,ScienceDirect by Elsevier,Yes,"NAption C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,NA,None,Mandated,Unclear,Partial (2/3),During Peer Review,Optional for Authors,Partial (2/3),Mandated
european journal of wildlife research,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Encouraged,Partial (2/3),On Reviewer Request,Not Expected At All,Partial (2/3),During Peer Review,Optional for Authors,Partial (2/3),On Reviewer Request
evodevo,BioMed Central - Springer Nature,Yes,Evo demo is mandated for review. code is encoruaged due to bmc policy,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,NA,None,Encouraged
evolution,OUP,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Mandated,Partial (2/3),Mandated
evolution & development,Wiley,Yes,NA,[redacted],[redacted],[redacted],Unclear,Full (3/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated,Unclear,Full (3/3),After Acceptance (Post-Publication),Optional for Authors,Partial (2/3),Encouraged
evolution letters,OUP,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Mandated,Partial (2/3),Mandated
evolution medicine and public health,OUP,Yes,"Evolution, Medicine, and Public Health encourages all authors, where ethically possible, to publicly release all data and software code underlying any published paper.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
evolutionary applications,Wiley,No,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Optional for Authors,Partial (2/3),Optional for Authors
evolutionary bioinformatics,Sage Journals,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
evolutionary biology,Springer Nature ,Yes,"This journal operates a mandatory research data sharing policy and as such requires that all datasets on which the conclusions of the paper rely be available to reviewers and readers. Authors must deposit their datasets in publicly available repositories prior to peer review, or include them as supplementary information files with their manuscript. The data will be assessed and reviewed as part of the journal’s standard peer-review process and, if necessary, revisions suggested.

Research data includes a wide range of types, including spreadsheets, images, textual extracts, archival documents, video or audio, interview notes or any specialist formats generated during research.

Data availability statements
All original research must include a data availability statement. This statement should explain how to access data supporting the results and analysis in the article, including links/citations to publicly archived datasets analysed or generated during the study. Please see our full policy here.",[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
evolutionary ecology,Springer Nature ,Yes,This journal follows Springer Nature research data policy. Sharing of all relevant research data is strongly encouraged and authors must add a Data Availability Statement to original research articles.,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Unclear,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
evolutionary ecology research,EER,NA,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
fems microbiology ecology,OUP,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Unclear,Full (3/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
fire-switzerland,MDPI,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),On Reviewer Request,Unclear,Full (3/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated
fire ecology,SpringerOpen,Yes,"Any previously unreported software application or custom code described in the manuscript should be available for testing by reviewers in a way that preserves their anonymity. For all journals, SpringerOpen strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers, and where there is a community established norm for data sharing, SpringerOpen mandates data deposition (for data types with required deposition, see below). ",[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged,NA,None,During Peer Review,Not Mentioned,Partial (2/3),Encouraged
fish and fisheries,Wiley,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),NA,None,Mandated,Unclear,Full (3/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
flora,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect",[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated,NA,None,During Peer Review,Mandated,Partial (2/3),Mandated
folia oecologica,Institute of Forest Ecology,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
food webs,ScienceDirect by Elsevier,Yes,"Option B: Research data deposit, citation and linking

You are encouraged to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Encouraged,Full (3/3),Encouraged,NA,None,During Peer Review,Encouraged,Partial (2/3),Encouraged
freshwater biology,Wiley,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),Not Expected At All,Optional for Authors,Full (3/3),Optional for Authors,Unclear,Partial (2/3),After Acceptance (Post-Publication),Optional for Authors,Partial (2/3),Encouraged
freshwater science,UoC Press,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,NA,None,On Reviewer Request,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Full (3/3),Optional for Authors
frontiers in ecology and evolution,Frontiers,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),NA,None,Encouraged,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
frontiers in ecology and the environment,ESA,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated
frontiers in forests and global change,Frontiers,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),NA,None,Encouraged,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
frontiers in zoology,BioMed Central - Springer Nature,Yes,Biomed policy is mandated for some data therefore encoruaged. code is encoruaged due to bmc policy,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Encouraged,During Peer Review,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Encouraged
functional ecology,BES,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Full (3/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Encouraged
fungal diversity,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
fungal ecology,ScienceDirect by Elsevier,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Full (3/3),Encouraged,Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Full (3/3),Encouraged
genome biology and evolution,OUP,Yes,NA,[redacted],[redacted],[redacted],NA,None,After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
global change biology,Wiley,No,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,NA,None,After Acceptance (Post-Publication),Mandated,Partial (2/3),Mandated
global ecology and biogeography,Wiley,No,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated
global ecology and conservation,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,Unclear,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated
global environmental change,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated
heredity,Nature Portfolio (Springer Nature),Yes,"The journal strongly encourages that all datasets on which the conclusions of the paper rely be available to reviewers and readers. . Peer reviewers are entitled to request access to underlying data (and
code) when needed for them to perform their evaluation of a manuscri",[redacted],[redacted],[redacted],NA,None,During Peer Review,Mandated,Partial (2/3),Encouraged,Unclear,Full (3/3),During Peer Review,Mandated,Partial (2/3),On Reviewer Request
human-wildlife interactions,Utah State,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
human ecology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
ideas in ecology and evolution,Queens University,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
insect systematics & evolution,Brill,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Encouraged,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
integrative organismal biology,OUP,Yes,NA,[redacted],[redacted],[redacted],Unclear,Full (3/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Unclear,Full (3/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
interciencia,Interciencia,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
international journal for parasitology-parasites and wildlife,ScienceDirect by Elsevier,Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Full (3/3),Encouraged,NA,None,During Peer Review,Encouraged,Full (3/3),Encouraged
international journal of ecology & development,international journal of ecology & development,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
international journal of sustainable development and world ecology,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Encouraged,Full (3/3),Optional for Authors,NA,None,During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
invertebrate systematics,CSIRO,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
isme journal,Nature Portfolio (Springer Nature),Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Partial (2/3),On Reviewer Request,Unclear,Full (3/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
israel journal of ecology & evolution,Brill,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Partial (2/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
journal for nature conservation,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated
journal of animal ecology,BES,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
journal of applied ecology,BES,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Mandated,Partial (2/3),Encouraged
